uuid,input,output
2bca349590f34b51ad26acee94ff6b8b,"[(47, 39), (64, 87), (67, 46), (67, 88), (9, 81), (83, 37), (21, 25), (36, 77), (87, 72), (70, 9), (88, 20), (88, 80), (12, 69), (58, 79), (65, 47)]","[(67, 88), (9, 81), (21, 25), (70, 9), (88, 20), (88, 80)]"
f61f95335d994d02af26d8f798bcf94e,"[(82, 49), (99, 29), (88, 19)]","[(99, 29), (82, 49), (88, 19)]"
908d530dc93941b7a9b7f62ec45fdd84,"[(39, 53), (32, 5), (65, 38), (9, 17), (57, 79), (32, 4), (31, 42), (74, 58), (23, 31), (35, 1), (75, 65), (55, 41), (28, 57), (34, 35), (0, 11), (0, 46), (36, 82)]","[(0, 11), (35, 1), (65, 38), (74, 58), (75, 65), (57, 79), (36, 82), (0, 46)]"
94fbf545f8154a7fbcd0c56265627cc9,"[(14, 12), (99, 42), (53, 84)]","[(14, 12), (99, 42), (53, 84)]"
e45613975f604f8ba5276b96bd270e3d,"[(68, 13), (6, 85), (68, 48), (47, 49), (3, 69), (76, 41), (52, 35), (78, 64), (15, 95), (20, 69), (99, 94), (58, 0), (23, 50), (79, 36)]","[(3, 69), (58, 0), (68, 13), (79, 36), (99, 94), (15, 95), (6, 85)]"
316733d4f7814919992a31b387ef1c32,"[(48, 77), (93, 21), (3, 73), (98, 0), (42, 10)]","[(48, 77), (3, 73), (42, 10), (98, 0), (93, 21)]"
352fb447af794add8b374bd6b1f6196e,"[(58, 50), (23, 27), (59, 14), (2, 41), (98, 58), (62, 65), (35, 36), (94, 10), (67, 86), (82, 43), (46, 11), (99, 2), (20, 51), (81, 80)]","[(67, 86), (2, 41), (46, 11), (99, 2), (98, 58), (81, 80)]"
72749dc6dcc64048a1b35f8a91f88103,"[(54, 19), (0, 46), (38, 42)]","[(0, 46), (54, 19), (38, 42)]"
f806e5bd7ec244ba8e126e2d8b40202d,"[(77, 95), (30, 72), (24, 26), (2, 66), (3, 52), (94, 67), (98, 61), (13, 14), (40, 96), (72, 4), (19, 67)]","[(72, 4), (98, 61), (77, 95), (40, 96), (2, 66), (3, 52), (13, 14)]"
a773d2250c1f4f9aa4d3c065d69aef0c,"[(11, 70), (86, 85), (77, 31), (75, 13), (56, 71), (16, 56), (24, 24), (29, 79), (21, 41), (25, 18), (80, 40), (60, 54), (61, 79), (83, 11), (33, 38), (32, 93)]","[(83, 11), (86, 85), (32, 93), (11, 70), (25, 18)]"
f168c78213434cdbad68860d17419b17,"[(95, 67), (44, 82), (88, 3), (24, 76)]","[(24, 76), (88, 3), (95, 67), (44, 82)]"
e33d16cc8b4f4bc3a397b7d17632987f,"[(35, 10), (86, 54), (61, 37), (69, 28), (87, 2), (43, 27), (32, 83), (11, 89), (84, 23)]","[(11, 89), (35, 10), (87, 2), (86, 54), (32, 83)]"
63f2492244374067b8a632e1a99e107b,"[(20, 10), (53, 27), (29, 45), (67, 71), (35, 39), (39, 61), (9, 85), (73, 97), (41, 44), (23, 34), (3, 34), (46, 88), (90, 33), (50, 5), (3, 36), (31, 0), (9, 75)]","[(90, 33), (73, 97), (9, 85), (3, 36), (3, 34), (20, 10), (31, 0), (50, 5)]"
09a686f966444718aec07f1244b54d97,"[(69, 61), (53, 1), (80, 81), (62, 35), (8, 91)]","[(80, 81), (8, 91), (53, 1)]"
9427d5f6cfd94b3c954cffdc10f07d24,"[(36, 84), (48, 2), (25, 69), (67, 12), (35, 44), (30, 66), (29, 91), (33, 85), (18, 39), (17, 39), (93, 75)]","[(17, 39), (48, 2), (67, 12), (93, 75), (29, 91)]"
9a85071d3c474815b190a7633033e17b,"[(70, 86), (71, 63), (18, 16), (92, 36), (43, 94), (83, 24), (49, 63), (41, 67), (93, 51), (46, 8), (21, 56), (73, 91), (89, 93), (96, 87), (91, 32), (73, 19), (28, 72), (81, 71), (58, 87), (0, 13)]","[(28, 72), (0, 13), (46, 8), (73, 19), (83, 24), (91, 32), (92, 36), (96, 87), (89, 93), (43, 94)]"
1434be1e874e44e5973b2669bd77dd06,"[(55, 13), (64, 5), (75, 0), (92, 8), (36, 79), (25, 79), (32, 53), (42, 11), (14, 4), (86, 39), (28, 92), (20, 45), (82, 26), (68, 74), (22, 52), (99, 49), (83, 91), (7, 51), (72, 99), (61, 18)]","[(7, 51), (14, 4), (75, 0), (92, 8), (99, 49), (83, 91), (72, 99), (28, 92)]"
